objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes
1,Alberta,Optimist Wind Energy,0.9,OWE1,2-Jan,150,23,30,Bonus,AN 150/30,1993,49.525354,-114.054796,NA
2,Alberta,Castle River Wind Farm,44,CRW1,Jan-60,600,44,40,Vestas,V44/600,1997,49.51264064,-114.0357117,NA
3,Alberta,Waterton Wind Turbines,3.78,WWT1,6-Jan,600,44,50,Vestas,V44/600,1998,49.23306874,-113.654899,NA
4,Alberta,Waterton Wind Turbines,3.78,WWT2,6-Feb,600,44,50,Vestas,V44/600,1998,49.23303438,-113.6302134,NA
5,Alberta,Waterton Wind Turbines,3.78,WWT3,6-Mar,600,44,50,Vestas,V44/600,1998,49.21754719,-113.6801606,NA
6,Alberta,Waterton Wind Turbines,3.78,WWT4,6-Apr,660,47,50,Vestas,V47/660,2000,49.21772542,-113.6579058,NA
7,Alberta,Cowley North,19.5,CON1,15-Jan,1300,60,46,Nordex,N60/1300,2001,49.56875858,-114.1103519,NA
8,Alberta,Cowley North,19.5,CON2,15-Feb,1300,60,46,Nordex,N60/1300,2001,49.5678788,-114.1096825,NA
9,Alberta,Cowley North,19.5,CON3,15-Mar,1300,60,46,Nordex,N60/1300,2001,49.56695905,-114.110309,NA
10,Alberta,Cowley North,19.5,CON4,15-Apr,1300,60,46,Nordex,N60/1300,2001,49.56597317,-114.1105134,NA
11,Alberta,Cowley North,19.5,CON5,15-May,1300,60,46,Nordex,N60/1300,2001,49.56495451,-114.1104037,NA
12,Alberta,Cowley North,19.5,CON6,15-Jun,1300,60,46,Nordex,N60/1300,2001,49.56393662,-114.1100892,NA
13,Alberta,Cowley North,19.5,CON7,15-Jul,1300,60,46,Nordex,N60/1300,2001,49.5631611,-114.1092233,NA
14,Alberta,Cowley North,19.5,CON8,15-Aug,1300,60,46,Nordex,N60/1300,2001,49.56236023,-114.108317,NA
15,Alberta,Cowley North,19.5,CON9,15-Sep,1300,60,46,Nordex,N60/1300,2001,49.56168538,-114.1071908,NA
16,Alberta,Cowley North,19.5,CON10,15-Oct,1300,60,46,Nordex,N60/1300,2001,49.56091112,-114.1061019,NA
17,Alberta,Cowley North,19.5,CON11,15-Nov,1300,60,46,Nordex,N60/1300,2001,49.55996191,-114.1054297,NA
18,Alberta,Cowley North,19.5,CON12,15-Dec,1300,60,46,Nordex,N60/1300,2001,49.55900497,-114.1051258,NA
19,Alberta,Cowley North,19.5,CON13,13/15,1300,60,46,Nordex,N60/1300,2001,49.55801061,-114.1047041,NA
20,Alberta,Cowley North,19.5,CON14,14/15,1300,60,46,Nordex,N60/1300,2001,49.55710887,-114.1044128,NA
21,Alberta,Cowley North,19.5,CON15,15/15,1300,60,46,Nordex,N60/1300,2001,49.55615966,-114.1036251,NA
22,Alberta,Lundbreck Wind Farm,19.5,LWF1,1-Jan,600,40,48,Enercon,E-40/600,2001,49.58307,-114.215968,NA
23,Alberta,McBride Lake,75,MBL1,1/115,660,50,47,Vestas,V47/660,2001,49.5828658,-113.4510381,NA
24,Alberta,Sinnott Wind Farm,6.5,SWF1,5-Jan,1300,60,60,Nordex,N60/1300,2001,49.54539453,-113.9704451,NA
25,Alberta,Sinnott Wind Farm,6.5,SWF2,5-Feb,1300,60,60,Nordex,N60/1300,2001,49.53502291,-113.9549555,NA
26,Alberta,Sinnott Wind Farm,6.5,SWF3,5-Mar,1300,60,60,Nordex,N60/1300,2001,49.53219076,-113.977526,NA
27,Alberta,Sinnott Wind Farm,6.5,SWF4,5-Apr,1300,60,60,Nordex,N60/1300,2001,49.53195211,-114.0022956,NA
28,Alberta,Sinnott Wind Farm,6.5,SWF5,5-May,1300,60,60,Nordex,N60/1300,2001,49.54518975,-113.9977952,NA
29,Alberta,Waterton Wind Turbines,3.78,WWT5,6-May,660,47,50,Vestas,V47/660,2001,49.18974711,-113.680682,NA
30,Alberta,Summerview,136.2,SVW1,Jan-61,1800,80,65,Vestas,V80/1800,2002,49.58284577,-113.7913236,NA
31,Alberta,Waterton Wind Turbines,3.78,WWT6,6-Jun,660,47,50,Vestas,V47/660,2002,49.19045971,-113.6405445,NA
32,Alberta,McBride Lake,75,MBL2,2/115,660,50,47,Vestas,V47/660,2003,49.62712847,-113.4677089,NA
33,Alberta,McBride Lake,75,MBL3,3/115,660,50,47,Vestas,V47/660,2003,49.6262466,-113.4663882,NA
34,Alberta,McBride Lake,75,MBL4,4/115,660,50,47,Vestas,V47/660,2003,49.62524877,-113.4651587,NA
35,Alberta,McBride Lake,75,MBL5,5/115,660,50,47,Vestas,V47/660,2003,49.62420212,-113.4639531,NA
36,Alberta,McBride Lake,75,MBL6,6/115,660,50,47,Vestas,V47/660,2003,49.62326004,-113.4626932,NA
37,Alberta,McBride Lake,75,MBL7,7/115,660,50,47,Vestas,V47/660,2003,49.62217214,-113.461479,NA
38,Alberta,McBride Lake,75,MBL8,8/115,660,50,47,Vestas,V47/660,2003,49.62104726,-113.4604887,NA
39,Alberta,McBride Lake,75,MBL9,9/115,660,50,47,Vestas,V47/660,2003,49.62706621,-113.4770801,NA
40,Alberta,McBride Lake,75,MBL10,10/115,660,50,47,Vestas,V47/660,2003,49.62607099,-113.4760571,NA
41,Alberta,McBride Lake,75,MBL11,11/115,660,50,47,Vestas,V47/660,2003,49.62479562,-113.474916,NA
42,Alberta,McBride Lake,75,MBL12,12/115,660,50,47,Vestas,V47/660,2003,49.62339284,-113.473742,NA
43,Alberta,McBride Lake,75,MBL13,13/115,660,50,47,Vestas,V47/660,2003,49.62257482,-113.4729844,NA
44,Alberta,McBride Lake,75,MBL14,14/115,660,50,47,Vestas,V47/660,2003,49.62171028,-113.4722787,NA
45,Alberta,McBride Lake,75,MBL15,15/115,660,50,47,Vestas,V47/660,2003,49.62064949,-113.4713815,NA
46,Alberta,McBride Lake,75,MBL16,16/115,660,50,47,Vestas,V47/660,2003,49.6195843,-113.4695659,NA
47,Alberta,McBride Lake,75,MBL17,17/115,660,50,47,Vestas,V47/660,2003,49.61850637,-113.467642,NA
48,Alberta,McBride Lake,75,MBL18,18/115,660,50,47,Vestas,V47/660,2003,49.61791768,-113.4660296,NA
49,Alberta,McBride Lake,75,MBL19,19/115,660,50,47,Vestas,V47/660,2003,49.61744581,-113.4643143,NA
50,Alberta,McBride Lake,75,MBL20,20/115,660,50,47,Vestas,V47/660,2003,49.62485191,-113.4839934,NA
51,Alberta,McBride Lake,75,MBL21,21/115,660,50,47,Vestas,V47/660,2003,49.62421413,-113.4821061,NA
52,Alberta,McBride Lake,75,MBL22,22/115,660,50,47,Vestas,V47/660,2003,49.62356838,-113.4802533,NA
53,Alberta,McBride Lake,75,MBL23,23/115,660,50,47,Vestas,V47/660,2003,49.62375384,-113.4967401,NA
54,Alberta,McBride Lake,75,MBL24,24/115,660,50,47,Vestas,V47/660,2003,49.62289554,-113.4952834,NA
55,Alberta,McBride Lake,75,MBL25,25/115,660,50,47,Vestas,V47/660,2003,49.6221661,-113.4937364,NA
56,Alberta,McBride Lake,75,MBL26,26/115,660,50,47,Vestas,V47/660,2003,49.62160147,-113.4920023,NA
57,Alberta,McBride Lake,75,MBL27,27/115,660,50,47,Vestas,V47/660,2003,49.62107715,-113.4903041,NA
58,Alberta,McBride Lake,75,MBL28,28/115,660,50,47,Vestas,V47/660,2003,49.6204285,-113.4884608,NA
59,Alberta,McBride Lake,75,MBL29,29/115,660,50,47,Vestas,V47/660,2003,49.61990866,-113.4867135,NA
60,Alberta,McBride Lake,75,MBL30,30/115,660,50,47,Vestas,V47/660,2003,49.61930187,-113.4850424,NA
61,Alberta,McBride Lake,75,MBL31,31/115,660,50,47,Vestas,V47/660,2003,49.61872849,-113.483258,NA
62,Alberta,McBride Lake,75,MBL32,32/115,660,50,47,Vestas,V47/660,2003,49.61809541,-113.4813956,NA
63,Alberta,McBride Lake,75,MBL33,33/115,660,50,47,Vestas,V47/660,2003,49.6175595,-113.4797322,NA
64,Alberta,McBride Lake,75,MBL34,34/115,660,50,47,Vestas,V47/660,2003,49.61695371,-113.4779078,NA
65,Alberta,McBride Lake,75,MBL35,35/115,660,50,47,Vestas,V47/660,2003,49.61913196,-113.5016139,NA
66,Alberta,McBride Lake,75,MBL36,36/115,660,50,47,Vestas,V47/660,2003,49.61818925,-113.5001391,NA
67,Alberta,McBride Lake,75,MBL37,37/115,660,50,47,Vestas,V47/660,2003,49.61721423,-113.4989161,NA
68,Alberta,McBride Lake,75,MBL38,38/115,660,50,47,Vestas,V47/660,2003,49.61622805,-113.4975789,NA
69,Alberta,McBride Lake,75,MBL39,39/115,660,50,47,Vestas,V47/660,2003,49.61538387,-113.4963172,NA
70,Alberta,McBride Lake,75,MBL40,40/115,660,50,47,Vestas,V47/660,2003,49.61479715,-113.4945648,NA
71,Alberta,McBride Lake,75,MBL41,41/115,660,50,47,Vestas,V47/660,2003,49.61426428,-113.4928547,NA
72,Alberta,McBride Lake,75,MBL42,42/115,660,50,47,Vestas,V47/660,2003,49.61370914,-113.4910705,NA
73,Alberta,McBride Lake,75,MBL43,43/115,660,50,47,Vestas,V47/660,2003,49.61305389,-113.4892728,NA
74,Alberta,McBride Lake,75,MBL44,44/115,660,50,47,Vestas,V47/660,2003,49.61250514,-113.4875221,NA
75,Alberta,McBride Lake,75,MBL45,45/115,660,50,47,Vestas,V47/660,2003,49.61191309,-113.4858063,NA
76,Alberta,McBride Lake,75,MBL46,46/115,660,50,47,Vestas,V47/660,2003,49.61127589,-113.4839396,NA
77,Alberta,McBride Lake,75,MBL47,47/115,660,50,47,Vestas,V47/660,2003,49.61072659,-113.4820997,NA
78,Alberta,McBride Lake,75,MBL48,48/115,660,50,47,Vestas,V47/660,2003,49.61066299,-113.5016305,NA
79,Alberta,McBride Lake,75,MBL49,49/115,660,50,47,Vestas,V47/660,2003,49.61001292,-113.4998038,NA
80,Alberta,McBride Lake,75,MBL50,50/115,660,50,47,Vestas,V47/660,2003,49.60951446,-113.4980015,NA
81,Alberta,McBride Lake,75,MBL51,51/115,660,50,47,Vestas,V47/660,2003,49.60885684,-113.4963072,NA
82,Alberta,McBride Lake,75,MBL52,52/115,660,50,47,Vestas,V47/660,2003,49.60829932,-113.4945177,NA
83,Alberta,McBride Lake,75,MBL53,53/115,660,50,47,Vestas,V47/660,2003,49.60766191,-113.4927174,NA
84,Alberta,McBride Lake,75,MBL54,54/115,660,50,47,Vestas,V47/660,2003,49.60718514,-113.4909976,NA
85,Alberta,McBride Lake,75,MBL55,55/115,660,50,47,Vestas,V47/660,2003,49.60536038,-113.5015484,NA
86,Alberta,McBride Lake,75,MBL56,56/115,660,50,47,Vestas,V47/660,2003,49.60473066,-113.4998194,NA
87,Alberta,McBride Lake,75,MBL57,57/115,660,50,47,Vestas,V47/660,2003,49.6042889,-113.4980343,NA
88,Alberta,McBride Lake,75,MBL58,58/115,660,50,47,Vestas,V47/660,2003,49.60374815,-113.4963909,NA
89,Alberta,McBride Lake,75,MBL59,59/115,660,50,47,Vestas,V47/660,2003,49.60319362,-113.4944749,NA
90,Alberta,McBride Lake,75,MBL60,60/115,660,50,47,Vestas,V47/660,2003,49.60257787,-113.4928315,NA
91,Alberta,McBride Lake,75,MBL61,61/115,660,50,47,Vestas,V47/660,2003,49.60194725,-113.4909996,NA
92,Alberta,McBride Lake,75,MBL62,62/115,660,50,47,Vestas,V47/660,2003,49.60279601,-113.5108461,NA
93,Alberta,McBride Lake,75,MBL63,63/115,660,50,47,Vestas,V47/660,2003,49.60200313,-113.50844,NA
94,Alberta,McBride Lake,75,MBL64,64/115,660,50,47,Vestas,V47/660,2003,49.6012849,-113.5061806,NA
95,Alberta,McBride Lake,75,MBL65,65/115,660,50,47,Vestas,V47/660,2003,49.60052825,-113.5038104,NA
96,Alberta,McBride Lake,75,MBL66,66/115,660,50,47,Vestas,V47/660,2003,49.59970786,-113.5015203,NA
97,Alberta,McBride Lake,75,MBL67,67/115,660,50,47,Vestas,V47/660,2003,49.59921847,-113.4997783,NA
98,Alberta,McBride Lake,75,MBL68,68/115,660,50,47,Vestas,V47/660,2003,49.59854869,-113.4980879,NA
99,Alberta,McBride Lake,75,MBL69,69/115,660,50,47,Vestas,V47/660,2003,49.59797999,-113.4963006,NA
100,Alberta,McBride Lake,75,MBL70,70/115,660,50,47,Vestas,V47/660,2003,49.5974718,-113.4945082,NA
101,Alberta,McBride Lake,75,MBL71,71/115,660,50,47,Vestas,V47/660,2003,49.5966671,-113.4921209,NA
102,Alberta,McBride Lake,75,MBL72,72/115,660,50,47,Vestas,V47/660,2003,49.59581625,-113.489893,NA
103,Alberta,McBride Lake,75,MBL73,73/115,660,50,47,Vestas,V47/660,2003,49.59516169,-113.4874728,NA
104,Alberta,McBride Lake,75,MBL74,74/115,660,50,47,Vestas,V47/660,2003,49.59414594,-113.4736895,NA
105,Alberta,McBride Lake,75,MBL75,75/115,660,50,47,Vestas,V47/660,2003,49.59338592,-113.4720144,NA
106,Alberta,McBride Lake,75,MBL76,76/115,660,50,47,Vestas,V47/660,2003,49.59267398,-113.4706088,NA
107,Alberta,McBride Lake,75,MBL77,77/115,660,50,47,Vestas,V47/660,2003,49.59196996,-113.4689835,NA
108,Alberta,McBride Lake,75,MBL78,78/115,660,50,47,Vestas,V47/660,2003,49.59108711,-113.4673677,NA
109,Alberta,McBride Lake,75,MBL79,79/115,660,50,47,Vestas,V47/660,2003,49.59025779,-113.4659288,NA
110,Alberta,McBride Lake,75,MBL80,80/115,660,50,47,Vestas,V47/660,2003,49.5895735,-113.4641425,NA
111,Alberta,McBride Lake,75,MBL81,81/115,660,50,47,Vestas,V47/660,2003,49.58886982,-113.4628489,NA
112,Alberta,McBride Lake,75,MBL82,82/115,660,50,47,Vestas,V47/660,2003,49.58811421,-113.4611013,NA
113,Alberta,McBride Lake,75,MBL83,83/115,660,50,47,Vestas,V47/660,2003,49.58723996,-113.4594942,NA
114,Alberta,McBride Lake,75,MBL84,84/115,660,50,47,Vestas,V47/660,2003,49.58651152,-113.458009,NA
115,Alberta,McBride Lake,75,MBL85,85/115,660,50,47,Vestas,V47/660,2003,49.58945405,-113.4852642,NA
116,Alberta,McBride Lake,75,MBL86,86/115,660,50,47,Vestas,V47/660,2003,49.58876372,-113.4834577,NA
117,Alberta,McBride Lake,75,MBL87,87/115,660,50,47,Vestas,V47/660,2003,49.58805628,-113.4817808,NA
118,Alberta,McBride Lake,75,MBL88,88/115,660,50,47,Vestas,V47/660,2003,49.58745656,-113.4801989,NA
119,Alberta,McBride Lake,75,MBL89,89/115,660,50,47,Vestas,V47/660,2003,49.58673601,-113.4785705,NA
120,Alberta,McBride Lake,75,MBL90,90/115,660,50,47,Vestas,V47/660,2003,49.58606635,-113.4769502,NA
121,Alberta,McBride Lake,75,MBL91,91/115,660,50,47,Vestas,V47/660,2003,49.58536704,-113.4752607,NA
122,Alberta,McBride Lake,75,MBL92,92/115,660,50,47,Vestas,V47/660,2003,49.58463433,-113.4736417,NA
123,Alberta,McBride Lake,75,MBL93,93/115,660,50,47,Vestas,V47/660,2003,49.58400501,-113.4718805,NA
124,Alberta,McBride Lake,75,MBL94,94/115,660,50,47,Vestas,V47/660,2003,49.5833341,-113.4703597,NA
125,Alberta,McBride Lake,75,MBL95,95/115,660,50,47,Vestas,V47/660,2003,49.58263955,-113.4686767,NA
126,Alberta,McBride Lake,75,MBL96,96/115,660,50,47,Vestas,V47/660,2003,49.5817836,-113.4671391,NA
127,Alberta,McBride Lake,75,MBL97,97/115,660,50,47,Vestas,V47/660,2003,49.58094339,-113.4655866,NA
128,Alberta,McBride Lake,75,MBL98,98/115,660,50,47,Vestas,V47/660,2003,49.58011868,-113.4640299,NA
129,Alberta,McBride Lake,75,MBL99,99/115,660,50,47,Vestas,V47/660,2003,49.57936383,-113.4626499,NA
130,Alberta,McBride Lake,75,MBL100,100/115,660,50,47,Vestas,V47/660,2003,49.57857712,-113.4610398,NA
131,Alberta,McBride Lake,75,MBL101,101/115,660,50,47,Vestas,V47/660,2003,49.57780495,-113.4593813,NA
132,Alberta,McBride Lake,75,MBL102,102/115,660,50,47,Vestas,V47/660,2003,49.57703619,-113.4578904,NA
133,Alberta,McBride Lake,75,MBL103,103/115,660,50,47,Vestas,V47/660,2003,49.591069,-113.5177554,NA
134,Alberta,McBride Lake,75,MBL104,104/115,660,50,47,Vestas,V47/660,2003,49.59033131,-113.5160538,NA
135,Alberta,McBride Lake,75,MBL105,105/115,660,50,47,Vestas,V47/660,2003,49.58978709,-113.5146031,NA
136,Alberta,McBride Lake,75,MBL106,106/115,660,50,47,Vestas,V47/660,2003,49.58892426,-113.5126738,NA
137,Alberta,McBride Lake,75,MBL107,107/115,660,50,47,Vestas,V47/660,2003,49.58827965,-113.5111369,NA
138,Alberta,McBride Lake,75,MBL108,108/115,660,50,47,Vestas,V47/660,2003,49.58748583,-113.5095506,NA
139,Alberta,McBride Lake,75,MBL109,109/115,660,50,47,Vestas,V47/660,2003,49.5868695,-113.5077875,NA
140,Alberta,McBride Lake,75,MBL110,110/115,660,50,47,Vestas,V47/660,2003,49.58616474,-113.5062839,NA
141,Alberta,McBride Lake,75,MBL111,111/115,660,50,47,Vestas,V47/660,2003,49.58543857,-113.5046085,NA
142,Alberta,McBride Lake,75,MBL112,112/115,660,50,47,Vestas,V47/660,2003,49.58468322,-113.5028535,NA
143,Alberta,McBride Lake,75,MBL113,113/115,660,50,47,Vestas,V47/660,2003,49.58401021,-113.5011567,NA
144,Alberta,McBride Lake,75,MBL114,114/115,660,50,47,Vestas,V47/660,2003,49.58336131,-113.4996778,NA
145,Alberta,McBride Lake,75,MBL115,115/115,660,50,47,Vestas,V47/660,2003,49.58264623,-113.4979945,NA
146,Alberta,Macleod Flats,3,MAF1,1-Jan,3000,90,67,Vestas,V90/3000,2004,49.686706,-113.475207,NA
147,Alberta,Magrath,30,MAG1,20-Jan,1500,77,65,GE,GE 1.5SLE,2004,49.40619879,-112.9739519,NA
148,Alberta,Magrath,30,MAG2,20-Feb,1500,77,65,GE,GE 1.5SLE,2004,49.40369617,-112.9729558,NA
149,Alberta,Magrath,30,MAG3,20-Mar,1500,77,65,GE,GE 1.5SLE,2004,49.40172587,-112.9722435,NA
150,Alberta,Magrath,30,MAG4,20-Apr,1500,77,65,GE,GE 1.5SLE,2004,49.39980285,-112.971737,NA
151,Alberta,Magrath,30,MAG5,20-May,1500,77,65,GE,GE 1.5SLE,2004,49.3985381,-112.9693354,NA
152,Alberta,Magrath,30,MAG6,20-Jun,1500,77,65,GE,GE 1.5SLE,2004,49.39721159,-112.9666794,NA
153,Alberta,Magrath,30,MAG7,20-Jul,1500,77,65,GE,GE 1.5SLE,2004,49.39706654,-112.9621888,NA
154,Alberta,Magrath,30,MAG8,20-Aug,1500,77,65,GE,GE 1.5SLE,2004,49.39544143,-112.9600724,NA
155,Alberta,Magrath,30,MAG9,20-Sep,1500,77,65,GE,GE 1.5SLE,2004,49.39404155,-112.9585736,NA
156,Alberta,Magrath,30,MAG10,20-Oct,1500,77,65,GE,GE 1.5SLE,2004,49.38769293,-112.9510526,NA
157,Alberta,Magrath,30,MAG11,20-Nov,1500,77,65,GE,GE 1.5SLE,2004,49.38600253,-112.9489729,NA
158,Alberta,Magrath,30,MAG12,20-Dec,1500,77,65,GE,GE 1.5SLE,2004,49.38189004,-112.9515341,NA
159,Alberta,Magrath,30,MAG13,13/20,1500,77,65,GE,GE 1.5SLE,2004,49.38033336,-112.949513,NA
160,Alberta,Magrath,30,MAG14,14/20,1500,77,65,GE,GE 1.5SLE,2004,49.37862561,-112.9476081,NA
161,Alberta,Magrath,30,MAG15,15/20,1500,77,65,GE,GE 1.5SLE,2004,49.37699854,-112.9456139,NA
162,Alberta,Magrath,30,MAG16,16/20,1500,77,65,GE,GE 1.5SLE,2004,49.37524445,-112.9435185,NA
163,Alberta,Magrath,30,MAG17,17/20,1500,77,65,GE,GE 1.5SLE,2004,49.3740101,-112.9408229,NA
164,Alberta,Magrath,30,MAG18,18/20,1500,77,65,GE,GE 1.5SLE,2004,49.37262362,-112.9386935,NA
165,Alberta,Magrath,30,MAG19,19/20,1500,77,65,GE,GE 1.5SLE,2004,49.3712537,-112.9365353,NA
166,Alberta,Magrath,30,MAG20,20/20,1500,77,65,GE,GE 1.5SLE,2004,49.36941634,-112.9342259,NA
167,Alberta,Optimist Wind Energy,0.9,OWE2,2-Feb,750,51.5,75,Lagerwey,LW750-52,2004,49.531345,-113.910888,NA
168,Alberta,Summerview,136.2,SVW2,Feb-61,1800,80,65,Vestas,V80/1800,2004,49.59754185,-113.8061309,NA
169,Alberta,Summerview,136.2,SVW3,Mar-61,1800,80,65,Vestas,V80/1800,2004,49.59526966,-113.8048897,NA
170,Alberta,Summerview,136.2,SVW4,Apr-61,1800,80,65,Vestas,V80/1800,2004,49.59303276,-113.8031488,NA
171,Alberta,Summerview,136.2,SVW5,May-61,1800,80,65,Vestas,V80/1800,2004,49.59057482,-113.8010327,NA
172,Alberta,Summerview,136.2,SVW6,Jun-61,1800,80,65,Vestas,V80/1800,2004,49.58822201,-113.7994557,NA
173,Alberta,Summerview,136.2,SVW7,Jul-61,1800,80,65,Vestas,V80/1800,2004,49.58606784,-113.7976719,NA
174,Alberta,Summerview,136.2,SVW8,Aug-61,1800,80,65,Vestas,V80/1800,2004,49.62485649,-113.8061191,NA
175,Alberta,Summerview,136.2,SVW9,Sep-61,1800,80,65,Vestas,V80/1800,2004,49.6228061,-113.8041405,NA
176,Alberta,Summerview,136.2,SVW10,Oct-61,1800,80,65,Vestas,V80/1800,2004,49.62070824,-113.802398,NA
177,Alberta,Summerview,136.2,SVW11,Nov-61,1800,80,65,Vestas,V80/1800,2004,49.61879773,-113.8007891,NA
178,Alberta,Summerview,136.2,SVW12,Dec-61,1800,80,65,Vestas,V80/1800,2004,49.61681791,-113.7995313,NA
179,Alberta,Summerview,136.2,SVW13,13/61,1800,80,65,Vestas,V80/1800,2004,49.61485905,-113.7978315,NA
180,Alberta,Summerview,136.2,SVW14,14/61,1800,80,65,Vestas,V80/1800,2004,49.6035056,-113.7895224,NA
181,Alberta,Summerview,136.2,SVW15,15/61,1800,80,65,Vestas,V80/1800,2004,49.60144182,-113.7877601,NA
182,Alberta,Summerview,136.2,SVW16,16/61,1800,80,65,Vestas,V80/1800,2004,49.59918256,-113.7850856,NA
183,Alberta,Summerview,136.2,SVW17,17/61,1800,80,65,Vestas,V80/1800,2004,49.59715371,-113.7830356,NA
184,Alberta,Summerview,136.2,SVW18,18/61,1800,80,65,Vestas,V80/1800,2004,49.59524469,-113.7805724,NA
185,Alberta,Summerview,136.2,SVW19,19/61,1800,80,65,Vestas,V80/1800,2004,49.59308283,-113.7784149,NA
186,Alberta,Summerview,136.2,SVW20,20/61,1800,80,65,Vestas,V80/1800,2004,49.59095828,-113.7761769,NA
187,Alberta,Summerview,136.2,SVW21,21/61,1800,80,65,Vestas,V80/1800,2004,49.63831756,-113.8057304,NA
188,Alberta,Summerview,136.2,SVW22,22/61,1800,80,65,Vestas,V80/1800,2004,49.63599309,-113.8040612,NA
189,Alberta,Summerview,136.2,SVW23,23/61,1800,80,65,Vestas,V80/1800,2004,49.63350212,-113.8023784,NA
190,Alberta,Summerview,136.2,SVW24,24/61,1800,80,65,Vestas,V80/1800,2004,49.63116513,-113.8007267,NA
191,Alberta,Summerview,136.2,SVW25,25/61,1800,80,65,Vestas,V80/1800,2004,49.62873341,-113.7991176,NA
192,Alberta,Summerview,136.2,SVW26,26/61,1800,80,65,Vestas,V80/1800,2004,49.62630958,-113.7973267,NA
193,Alberta,Summerview,136.2,SVW27,27/61,1800,80,65,Vestas,V80/1800,2004,49.6250865,-113.7924399,NA
194,Alberta,Summerview,136.2,SVW28,28/61,1800,80,65,Vestas,V80/1800,2004,49.62293766,-113.7903346,NA
195,Alberta,Summerview,136.2,SVW29,29/61,1800,80,65,Vestas,V80/1800,2004,49.62086189,-113.7881838,NA
196,Alberta,Summerview,136.2,SVW30,30/61,1800,80,65,Vestas,V80/1800,2004,49.61866357,-113.7858697,NA
197,Alberta,Summerview,136.2,SVW31,31/61,1800,80,65,Vestas,V80/1800,2004,49.61658397,-113.7837891,NA
198,Alberta,Summerview,136.2,SVW32,32/61,1800,80,65,Vestas,V80/1800,2004,49.61451711,-113.7816294,NA
199,Alberta,Summerview,136.2,SVW33,33/61,1800,80,65,Vestas,V80/1800,2004,49.6123425,-113.77932,NA
200,Alberta,Summerview,136.2,SVW34,34/61,1800,80,65,Vestas,V80/1800,2004,49.6079919,-113.7784196,NA
201,Alberta,Summerview,136.2,SVW35,35/61,1800,80,65,Vestas,V80/1800,2004,49.60581777,-113.7761616,NA
202,Alberta,Summerview,136.2,SVW36,36/61,1800,80,65,Vestas,V80/1800,2004,49.60358487,-113.774009,NA
203,Alberta,Summerview,136.2,SVW37,37/61,1800,80,65,Vestas,V80/1800,2004,49.60151163,-113.7705728,NA
204,Alberta,Summerview,136.2,SVW38,38/61,1800,80,65,Vestas,V80/1800,2004,49.59945755,-113.7682846,NA
205,Alberta,Summerview,136.2,SVW39,39/61,1800,80,65,Vestas,V80/1800,2004,49.59735606,-113.7660256,NA
206,Alberta,Chin Chute,30,CHC1,20-Jan,1500,77,65,GE,GE 1.5SLE,2006,49.6921946,-112.3511163,NA
207,Alberta,Chin Chute,30,CHC2,20-Feb,1500,77,65,GE,GE 1.5SLE,2006,49.69083958,-112.3494343,NA
208,Alberta,Chin Chute,30,CHC3,20-Mar,1500,77,65,GE,GE 1.5SLE,2006,49.68697053,-112.3427319,NA
209,Alberta,Chin Chute,30,CHC4,20-Apr,1500,77,65,GE,GE 1.5SLE,2006,49.68630788,-112.3400214,NA
210,Alberta,Chin Chute,30,CHC5,20-May,1500,77,65,GE,GE 1.5SLE,2006,49.68563356,-112.3375135,NA
211,Alberta,Chin Chute,30,CHC6,20-Jun,1500,77,65,GE,GE 1.5SLE,2006,49.68497583,-112.3347551,NA
212,Alberta,Chin Chute,30,CHC7,20-Jul,1500,77,65,GE,GE 1.5SLE,2006,49.69319076,-112.3340897,NA
213,Alberta,Chin Chute,30,CHC8,20-Aug,1500,77,65,GE,GE 1.5SLE,2006,49.69229274,-112.3314378,NA
214,Alberta,Chin Chute,30,CHC9,20-Sep,1500,77,65,GE,GE 1.5SLE,2006,49.69133984,-112.3291842,NA
215,Alberta,Chin Chute,30,CHC10,20-Oct,1500,77,65,GE,GE 1.5SLE,2006,49.68683467,-112.3248794,NA
216,Alberta,Chin Chute,30,CHC11,20-Nov,1500,77,65,GE,GE 1.5SLE,2006,49.68567933,-112.3222053,NA
217,Alberta,Chin Chute,30,CHC12,20-Dec,1500,77,65,GE,GE 1.5SLE,2006,49.6843971,-112.3200045,NA
218,Alberta,Chin Chute,30,CHC13,13/20,1500,77,65,GE,GE 1.5SLE,2006,49.68319128,-112.3176915,NA
219,Alberta,Chin Chute,30,CHC14,14/20,1500,77,65,GE,GE 1.5SLE,2006,49.68215003,-112.3154184,NA
220,Alberta,Chin Chute,30,CHC15,15/20,1500,77,65,GE,GE 1.5SLE,2006,49.68093081,-112.313313,NA
221,Alberta,Chin Chute,30,CHC16,16/20,1500,77,65,GE,GE 1.5SLE,2006,49.67958527,-112.3110969,NA
222,Alberta,Chin Chute,30,CHC17,17/20,1500,77,65,GE,GE 1.5SLE,2006,49.67844853,-112.3087716,NA
223,Alberta,Chin Chute,30,CHC18,18/20,1500,77,65,GE,GE 1.5SLE,2006,49.67695187,-112.3056658,NA
224,Alberta,Chin Chute,30,CHC19,19/20,1500,77,65,GE,GE 1.5SLE,2006,49.67570509,-112.3011344,NA
